Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,14 February 2008,preppy-3,9, Very grim and disturbing but you can't stop watching,Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.,/
1,18 May 2010,TheLittleSongbird,10," A brilliant postmodern film noir that is grim, intelligent and disturbing","From David Fincher, Se7en is a compelling and brilliant postmodern film noir. It is grim and disturbing but it is also very intelligent and daring. What I did love about Se7en especially is that it is incredibly stylish, beautiful dark cinematography and dazzling landscapes really do add to the atmosphere. Very little of the murders are shown but we are appalled and shocked by what we hear of them, the action is tense and the climax is shattering. There is also an intelligent screenplay, a clever plot telling of a vicious serial killer who murders his victims in a gruesome way to atone for the sins(gluttony, greed, sloth, lust, pride, envy and wrath)he deems them to have committed and excellent direction. The acting is also superb, Morgan Freeman gives another brilliant performance as the disillusioned detective and Brad Pitt is great as Mills in a more meatier role than he has ever done. Gwyneth Paltrow makes a small yet significant appearance as Mill's uneasy wife, while Kevin Spacey superbly delivers equally superb dialogue as John Doe despite the fact he isn't in the film much. Overall, a brilliant film, with adept performances, direction, style and ambition. 10/10 Bethany Cox",r
2,30 April 2004,Boba_Fett1138,10, Dark and disturbing thriller that will stay with you for ever.,"Rarely there has been a movie with such a good dark and chilling  atmosphere. I even see this movie more as an horror movie than as a  thriller because of that.  ""Se7en"" is unique in many ways. The movies mood is already set right  from the beginning on. The movie starts dark, intense, chilling and  mysterious, a mood that is present throughout the entire movie. It's  very depressing to watch and I mean that in a positive way of the  meaning of the word. The mood is set by good camera work and lighting,  or better said, the lack of it. The music from acclaimed composer  Howard Shore also adds to the chilling atmosphere.  Unlike many other movies from the same genre, the movie is slow paced  and takes it time to develop the characters without falling into some  obvious cliché's. The two main characters played by Morgan Freeman and  Brad Pitt are presented as an unlikely police-couple that are different  in many ways from each other but in a way that is also what makes them  such a great couple. Brad Pitt for once has the opportunity to play  more than just the pretty boy and he does it with success. Kevin Spacey  truly plays a bone chilling character, almost just as legendary and  chilling as Hannibal Lecter. I would very much like to see the two of  them put in the same room, just to see who would make it out alive.  Further more it was great to see R. Lee Emrey again as the police  captain.  The movie is filled with some truly gross, sickening and horrifying  scene's, this seriously ain't no kids stuff! The movie has some of the  most sickening murders I have ever seen featured in a movie. But it  aren't just only the gross scene's that are good, there are also some  scene's that are made with lot's of beauty and profession such as the  library scene.  Dark and chilling movie that you will never forget also thanks to the  ending which I will not spoil for you. A real must see.  10/10",e
3,1 March 2014,tomgillespie2002,10, Still manages to astound after 20 years of repeat viewings,"After his calamitous experience working on his début film Alien 3 (1992), David Fincher took on a small genre picture that, little did he know, would revitalise his career and become one of the greatest films of the 1990's. Se7en appears to begin as your typical detective neo- noir, with the cynical veteran and the naive rookie taking on an elusive serial killer seemed hell-bent on turning the sin against the sinner. But, set in an unnamed and permanently drizzly American city, Se7en is a meditation on evil and a pessimist's depiction on the modern world, climaxing in one of the bravest and most memorable endings in Hollywood history.",v
4,4 March 2008,hitchcockthelegend,10," He's experienced about as much pain and suffering as anyone I've encountered, give or take, and he still has Hell to look forward to.","Seven is directed by David Fincher and written by Andrew Kevin Walker. It stars Morgan Freeman, Brad Pitt, Gwyneth Paltrow, Kevin Spacey and R. Lee Ermey. Music is scored by Howard Shore and cinematography by Darius Khondji.",i
5,15 October 2003,chvylvr80,10, Probably the greatest murder story ever,"Seven's quality puts it so far beyond most of the ""cops on trail of deranged killer"" genre that it comes out as a true jewel of cinema. Everything about seven is perfect. It is art captured on film. This movie is a bright spot for all of the stars who worked on it. ",e
6,6 May 2009,RedRoadster,10, A dark and disturbing masterpiece.,It is a rarity for a film to be completely unsettling and yet unrelentingly gripping.,w
7,30 January 2005,mjw2305,10, Top Serial Killer Movie,"Somerset, (Morgan Freeman) a deeply Intellectual Detective, with barely a week left until his retirement and Mills, (Brad Pitt) the new cop in town, who is a pretty weak detective, are thrown together to investigate what at first appears to be another Homicide.",/
8,14 October 2007,winner55,9, one of the best-made films of its era and genre,"Despite clichés, and a very depressing finale, this is one of the best-made films of its era and genre.",r
9,21 August 2005,johnmbale,10, Stand out Thriller thanks to Fine Cast.,"A stand out film dealing with a particularly unpleasant Serial Killer, ""Se7en"" (along with ""Silence of the Lambs""), is something of a milestone in this genre. An intelligent script, and admirable actors including the excellent Morgan Freeman, Prad Pitt, Gwenth Paltrow and Kevin Spacey, with a cinema noir style, and very grisly murders representing the Seven Deadly Sins. It is the performances however that lifts this movie above the average, Morgan Freeman as the older world wise detective, Pitt almost manic as his young enthusiastic sidekick, Poltrow plays the wife with a fine degree of sensitivity, and Spacey does his usual brilliant psycho routine. There is a pivotal scene with Freeman and Paltrow in a café which shows the depth of performances here. They are believable characters in a dark disturbing world wherein it always seems to be raining. An effective thriller with tight direction and atmospheric photography.",w
10,20 June 2002,tsatsas,10, Modern Masterpiece!!,"Gothic, shocking, suspenseful, disturbing and clever, `Seven' marked a new beginning for director David Fincher's career. This dark tale of murder and crime revolves around two detectives in present New York city played by two brilliant actors `Brad Pitt' and `Morgan Freeman' who are paired together to solve a puzzle of murder that is at the hands of a man who kills regarding to the seven deadly sins. Both actors displayed striking performances that are so sharp and realistic sometimes you have to remind yourself that's its all acting.",2
11,15 December 2022,Sleepin_Dragon,10, An out and out classic.,"A retiring Detective and a young rookie are hunting down a serial killer, a killer with a dark MO, murdering his victims using the seven deadly sins.",4
12,31 December 2012,illbebackreviews,10, Fincher's Se7en is a classic crime story which can rival the likes of Silence of the Lambs,"Remember the Silence of the Lambs which is regarded as the greatest Crime/Thriller film of all time. Well, Fincher's Se7en can rival that masterpiece.",7
13,24 August 2020,dommercaldi,9," David Fincher Strikes Again, With An Unwavering Thriller That Strikes Straight To The Heart","Pros:
1. The score is beautifully ominous which only deepens the thrilling and unsettling atmosphere.
2. Brad Pitt (Mills), Morgan Freeman (Somerset), and Kevin Spacey (John Doe) give amazing performances.
3. The colour palette being dark and monotone helps to cement the gloomy and grim tone.
4. The gore and practical effects are immense and they still stand up 25 years later. The sloth, lust, and gluttony murders, in particular, stick in mind.
5. The great cinematography knows when to pull the camera back, as well as to draw it close for great effect.
6. Both Morgan Freeman and Brad Pitt have great chemistry together.
7. The back-and-forth between Somerset, Mills, and John Doe in the police car is one of the most intense and captivating scenes in the history of cinema.
8. The movie presents the interesting and complex moral quandary of: is it immoral to kill the immoral? Even if those immoral people adversely affect other people? And who gets to decide who is immoral, and what punishment should be meted out to them?
9. Despite the underdeveloped character of Tracy (Gwyneth Paltrow), the conclusion is still one of the hardest hitting and iconic endings ever created.",6
14,14 January 2008,Howlin Wolf,10, Se7en gruesome chapters of a killer's manifesto...,"""Se7en"" is unique because of the extraordinary sympathy it manages to foster for its two main characters; it's unique because of its bleak, hopeless environment that serves as a symptom of civilization's general decline. It's strengthened by its brilliant performances capturing mostly decent people struggling to survive in the sewer without becoming tainted by it. The fictional John Doe would most likely agree with all these theoretical snapshots of despair - the difference comes in his psychopathic desire to come up with a plan that he thinks will solve it.",0
15,13 March 2017,Twins65,9," 20+ years later, I watched it again","...and it was STILL STELLAR! Fincher's mid-90's crime drama SE7EN got a whole bunch of hype when it first came out, and deservedly so. Pitt was still on the upswing of his career, ""Gwyn"" was still not yet a household name (which was a good thing for this role), and of course Freeman was at the top of his game (see SHAWSHANK, UNFORGIVEN, OUTBREAK, etc.) once again playing the voice of reason to perfection. And throw in Spacey, who was still in the last stages of being a THAT GUY (albeit, one of the very best THAT GUYS-- he would pick up a Supporting Actor Oscar the next year for THE USUAL SUSPECTS), and you've got one helluva cast.",9
16,24 September 2015,namashi_1,10, Fincher At His Finest!,"David Fincher has made remarkable films throughout his career, but 'Se7en' finds him at his FINEST! This neo-noir psychological-thriller, is an astonishing piece of Cinema. I was mesmerized. ",1
17,10 March 2007,Sergeant_Tibbs,10, One Of The Greatest Thrillers Of All-Time,In 1995 David Fincher released a perfectly constructed modern masterpiece; Se7en. One of the most exhilarating experiences of all-time and a classic to come.,/
18,15 September 2007,ackstasis,9," ""This isn't going to have a happy ending.""","After years of experiencing dull, formulaic, clichèd so-called thrillers, it's always satisfying when a genuinely great movie comes along. I have absolutely no hesitation in proclaiming 'Se7en' to be such a film, with director David Fincher  after achieving a somewhat mixed result in his cinematic debut, 'Alien³'  firmly proclaiming his place as one of the 1990's most promising new talents. It's somewhat surprising that the movie had managed to elude me for so long, since I'd been wanting to see it for a while, and it was only last week that I managed to get my hands on a DVD copy. And so, without further ado, I invited over a friend, who has an equal partiality towards good thrillers, and enthusiastically promised him one of the best of its decade. 'Se7en' didn't disappoint.",?
19,15 May 2015,SnoopyStyle,9, beautiful darkness,Somerset (Morgan Freeman) is a wearied homicide detective. Mills (Brad Pitt) worked hard to transfer to the troubled precinct. He's married to Tracy (Gwyneth Paltrow). There is a serial killer on the loose delivering his sermon on the Seven Deadly Sins. Somerset is tired of the city. Mills is eager to investigate.,r
20,24 March 2015,sandnair87,10, Se7en is a Sinfully Enthralling Thriller!,"Se7en is a nerve-jangling thriller, hauntingly shot by visionary director David Fincher, who crafts one of the most iconic films of all time.",e
